대륙,국적,인원,전년동기, 성장률 , 구성비 ,남성인원, 남성인원성장률,여성인원, 여성인원성장률,승무원인원, 승무원인원성장률 
,,,,,,,,,,,
,,,,,,,,,,,
총계,,"1,134,068","1,343,398",-15.6,100,"464,082",-10.3,"600,380",-15.7,"69,606",-38.8
아시아주,중국,"332,474","535,536",-37.9,29.3,"129,908",-31.3,"191,236",-40.4,"11,330",-55.3
아시아주,일본,"193,705","197,209",-1.8,17.1,"75,992",-4.7,"115,397",0.1,"2,316",8.4
아시아주,대만,"75,738","64,488",17.4,6.7,"22,794",12.1,"52,063",20.1,881,11.9
아시아주,홍콩,"58,761","63,998",-8.2,5.2,"20,931",-12.5,"37,018",-5.7,812,-1.5
아시아주,필리핀,"37,019","45,529",-18.7,3.3,"12,278",14.2,"13,297",37,"11,444",-54.4
아시아주,인도네시아,"22,012","29,905",-26.4,1.9,"8,919",-12.8,"9,586",-9.8,"3,507",-61.2
아시아주,태국,"60,147","52,466",14.6,5.3,"21,080",21.7,"34,550",12.3,"4,517",3.1
아시아주,베트남,"24,009","18,632",28.9,2.1,"10,676",33.4,"9,824",29.5,"3,509",15.5
아시아주,인도,"7,524","12,832",-41.4,0.7,"4,483",4.9,908,4.8,"2,133",-72.3
아시아주,말레이시아,"45,333","44,050",2.9,4,"18,235",2.4,"24,974",2.7,"2,124",10
아시아주,싱가포르,"36,144","39,957",-9.5,3.2,"15,291",-11.1,"19,316",-9.2,"1,537",3.8
아시아주,몽골,"9,758","7,878",23.9,0.9,"4,538",20.9,"5,178",25.8,42,500
아시아주,우즈베키스탄,"5,306","4,313",23,0.5,"3,589",26,"1,411",17.7,306,15
아시아주,미얀마,"6,379","6,133",4,0.6,"2,864",14.7,525,98.9,"2,990",-11.3
아시아주,GCC,"1,842","1,993",-7.6,0.2,"1,033",-10.5,791,-3.2,18,-18.2
아시아주,카자흐스탄,"3,544","2,569",38,0.3,"1,738",49.6,"1,541",26.8,265,38
아시아주,터키,"2,224","1,688",31.8,0.2,965,39.5,236,28.3,"1,023",26
아시아주,캄보디아,"2,083","2,297",-9.3,0.2,"1,327",-15,641,5.4,115,-10.2
아시아주,스리랑카,"1,134","1,253",-9.5,0.1,943,-1.4,81,30.6,110,-53.2
아시아주,방글라데시,"1,271",790,60.9,0.1,"1,046",63.2,83,59.6,142,46.4
아시아주,파키스탄,921,878,4.9,0.1,799,6.1,84,2.4,38,-11.6
아시아주,이스라엘,737,769,-4.2,0.1,514,-5.5,210,12.9,13,-66.7
아시아주,이란,626,458,36.7,0.1,403,33,94,77.4,129,26.5
아시아주,아시아 기타,"13,061","12,605",3.6,1.2,"5,707",4,"6,929",5.9,425,-26
아시아주,아시아주소계,"941,752","1,148,226",-18,83,"366,053",-13.1,"525,973",-17.7,"49,726",-43.3
미주,미국,"66,763","66,597",0.2,5.9,"35,697",0.2,"26,439",0,"4,627",1.5
미주,캐나다,"13,080","13,412",-2.5,1.2,"6,239",-2.5,"5,789",-3.1,"1,052",1.3
미주,브라질,"1,349","1,392",-3.1,0.1,663,5.4,498,15.8,188,-43.5
미주,멕시코,"1,641",970,69.2,0.1,643,47.8,619,102.3,379,65.5
